mac,method,experiment_id,transition_index,new_room,transition_time,detected,latency_sec,confirmation_time
c3:00:00:13:3b:b7,baseline,DIN-BA-R2,0,Corredor,2026-08-25 12:50:05,True,0.0,2026-08-25 12:50:05
c3:00:00:13:3b:b7,baseline,DIN-BA-R2,1,Sala A,2026-08-25 12:50:12,True,8.0,2026-08-25 12:50:20
c3:00:00:13:3b:b7,median,DIN-BA-R2,0,Corredor,2026-08-25 12:50:05,False,,
c3:00:00:13:3b:b7,median,DIN-BA-R2,1,Sala A,2026-08-25 12:50:12,True,11.0,2026-08-25 12:50:23
c3:00:00:13:3b:b7,median_hysteresis,DIN-BA-R2,0,Corredor,2026-08-25 12:50:05,False,,
c3:00:00:13:3b:b7,median_hysteresis,DIN-BA-R2,1,Sala A,2026-08-25 12:50:12,True,11.0,2026-08-25 12:50:23
c3:00:00:13:3b:b7,median_hysteresis_persistence,DIN-BA-R2,0,Corredor,2026-08-25 12:50:05,False,,
c3:00:00:13:3b:b7,median_hysteresis_persistence,DIN-BA-R2,1,Sala A,2026-08-25 12:50:12,False,,
