mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala A,Corredor,18
c3:00:00:13:3b:b7,baseline,Sala A,Sala A,17
c3:00:00:13:3b:b7,baseline,Sala A,Sala B,18
c3:00:00:13:3b:b7,median,Sala A,Corredor,3
c3:00:00:13:3b:b7,median,Sala A,Sala A,28
c3:00:00:13:3b:b7,median,Sala A,Sala B,22
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Corredor,6
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala A,28
c3:00:00:13:3b:b7,median_hysteresis,Sala A,Sala B,19
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Corredor,5
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala A,29
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,Sala B,17
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala A,desconhecida,2
