time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_candidate_room,median_hysteresis_candidate_rssi,median_hysteresis_current_room_rssi,median_hysteresis_difference_db,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-27 10:34:55,2026-08-27 10:34:50,1394,2803322551,2026-08-27 10:34:55,server,c3:00:00:13:3b:b7,ESP-01,35852687-a7ea-4d37-bb3f-9387d40ffa92,EST2-B3-R1,,,Corredor,-82,,,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-82.0,,,,False,False,False,False
2026-08-27 10:34:55,2026-08-27 10:34:49,264,49404702,2026-08-27 10:34:55,server,c3:00:00:13:3b:b7,ESP-02,454826ca-4408-4bbd-b0c7-08ea8d09b302,EST2-B3-R1,,,Sala A,-82,,,Sala A,True,Corredor,False,Corredor,False,False,Corredor,-82.0,-82.0,,Corredor,True,False,True,True
2026-08-27 10:35:01,2026-08-27 10:34:57,265,49404702,2026-08-27 10:35:01,server,c3:00:00:13:3b:b7,ESP-02,48a3e7b4-c671-4b2f-ba11-4276150ca143,EST2-B3-R1,,,Sala A,-82,Sala B,junto_parede,Sala A,False,Sala A,True,Sala A,True,False,Sala A,-82.0,,,Corredor,False,False,False,False
2026-08-27 10:35:01,2026-08-27 10:34:57,1395,2803322551,2026-08-27 10:35:01,server,c3:00:00:13:3b:b7,ESP-01,9e23fc13-5d92-4176-85ba-cc7cf71fa0ec,EST2-B3-R1,,,Corredor,-79,Sala B,junto_parede,Corredor,True,Corredor,True,Sala A,False,True,Corredor,-79.0,-82.0,3.0,Sala A,True,False,False,True
2026-08-27 10:35:02,2026-08-27 10:34:52,1539,2780215821,2026-08-27 10:35:02,server,c3:00:00:13:3b:b7,ESP-03,6d18941f-d7e9-438e-9893-637c7c98154e,EST2-B3-R1,,,Sala B,-49,Sala B,junto_parede,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-49.0,-82.0,33.0,Sala A,False,False,False,False
2026-08-27 10:35:05,2026-08-27 10:35:02,266,49404702,2026-08-27 10:35:05,server,c3:00:00:13:3b:b7,ESP-02,51861fc1-92f7-4d08-9e27-66a8ab93e1fe,EST2-B3-R1,,,Sala A,-82,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-49.0,-49.0,,Sala B,True,False,True,True
2026-08-27 10:35:05,2026-08-27 10:35:01,1540,2780215821,2026-08-27 10:35:05,server,c3:00:00:13:3b:b7,ESP-03,a5626586-4d22-418c-bb97-064987a9df3f,EST2-B3-R1,,,Sala B,-55,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-52.0,-52.0,,Sala B,False,True,True,True
2026-08-27 10:35:08,2026-08-27 10:35:03,1396,2803322551,2026-08-27 10:35:08,server,c3:00:00:13:3b:b7,ESP-01,f72345d4-4943-49d3-b7cd-f26c6543a0d9,EST2-B3-R1,,,Corredor,-82,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-55.0,-55.0,,Sala B,False,False,True,True
2026-08-27 10:35:09,2026-08-27 10:35:07,1541,2780215821,2026-08-27 10:35:09,server,c3:00:00:13:3b:b7,ESP-03,ce6d97bb-538f-4297-99f7-f37532a3d1a5,EST2-B3-R1,,,Sala B,-50,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-50.0,-50.0,,Sala B,False,True,True,True
2026-08-27 10:35:09,2026-08-27 10:35:07,267,49404702,2026-08-27 10:35:09,server,c3:00:00:13:3b:b7,ESP-02,ea184ed5-c50a-46cf-8497-0de41951cebe,EST2-B3-R1,,,Sala A,-84,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-50.0,-50.0,,Sala B,False,False,True,True
2026-08-27 10:35:13,2026-08-27 10:35:11,268,49404702,2026-08-27 10:35:13,server,c3:00:00:13:3b:b7,ESP-02,d6113f2b-2d7b-4141-a83b-f91c473f5265,EST2-B3-R1,,,Sala A,-83,Sala B,junto_parede,Sala A,False,Sala A,True,Sala A,True,False,Sala A,-83.0,,,Sala B,False,False,False,False
2026-08-27 10:35:14,2026-08-27 10:35:09,1397,2803322551,2026-08-27 10:35:14,server,c3:00:00:13:3b:b7,ESP-01,f69bba39-56e5-443d-aacb-d376b1ac1051,EST2-B3-R1,,,Corredor,-70,Sala B,junto_parede,Corredor,True,Corredor,True,Corredor,True,False,Corredor,-70.0,-83.0,13.0,Sala B,False,False,False,False
2026-08-27 10:35:15,2026-08-27 10:35:10,1542,2780215821,2026-08-27 10:35:15,server,c3:00:00:13:3b:b7,ESP-03,2f30a46a-2eb0-426b-a161-239310ea73e8,EST2-B3-R1,,,Sala B,-55,Sala B,junto_parede,Sala B,True,Sala B,True,Sala B,True,False,Sala B,-55.0,-70.0,15.0,Sala B,False,True,True,True
2026-08-27 10:35:18,2026-08-27 10:35:15,1398,2803322551,2026-08-27 10:35:18,server,c3:00:00:13:3b:b7,ESP-01,3f1b0412-1458-4b4b-b109-f9942a670c20,EST2-B3-R1,,,Corredor,-79,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-55.0,-55.0,,Sala B,False,False,True,True
2026-08-27 10:35:22,2026-08-27 10:35:17,1543,2780215821,2026-08-27 10:35:22,server,c3:00:00:13:3b:b7,ESP-03,d1ee019f-05b3-4101-90e6-1aeee4a793aa,EST2-B3-R1,,,Sala B,-49,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-49.0,-49.0,,Sala B,False,True,True,True
2026-08-27 10:35:24,2026-08-27 10:35:19,1399,2803322551,2026-08-27 10:35:24,server,c3:00:00:13:3b:b7,ESP-01,a1f20857-aeb2-4332-bd47-54b38654c700,EST2-B3-R1,,,Corredor,-79,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-49.0,-49.0,,Sala B,False,False,True,True
2026-08-27 10:35:25,2026-08-27 10:35:14,269,49404702,2026-08-27 10:35:25,server,c3:00:00:13:3b:b7,ESP-02,a5d74d0e-d38c-41e2-9d56-634558472730,EST2-B3-R1,,,Sala A,-85,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-49.0,-49.0,,Sala B,False,False,True,True
2026-08-27 10:35:28,2026-08-27 10:35:23,1544,2780215821,2026-08-27 10:35:28,server,c3:00:00:13:3b:b7,ESP-03,a62f8bb7-3018-444a-83ea-034ee7792db9,EST2-B3-R1,,,Sala B,-54,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,False,True,True,True
2026-08-27 10:35:29,2026-08-27 10:35:23,270,49404702,2026-08-27 10:35:29,server,c3:00:00:13:3b:b7,ESP-02,d51a2518-1c34-41cc-be1a-c1c12b09aba3,EST2-B3-R1,,,Sala A,-86,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,False,False,True,True
2026-08-27 10:35:30,2026-08-27 10:35:25,1400,2803322551,2026-08-27 10:35:30,server,c3:00:00:13:3b:b7,ESP-01,85649f8d-8a85-442a-b1f1-4d1879a0e1e4,EST2-B3-R1,,,Corredor,-69,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,-54.0,-54.0,,Sala B,False,False,True,True
