mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,39,39,38,0,0.35135135135135137,0.34210526315789475,2,0,0.0,2,2,0,25,1914.8936170212764,2.0,2.9,1.0,1.0,3.0,0.0
c3:00:00:13:3b:b7,median,39,39,5,0,0.918918918918919,0.8157894736842105,2,0,0.0,2,0,0,1,76.59574468085106,3.5,3.95,0.5,3.0,4.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,39,39,5,0,0.918918918918919,0.8157894736842105,2,0,0.0,2,0,0,1,76.59574468085106,3.5,3.95,0.5,3.0,4.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,39,37,2,2,1.0,0.7631578947368421,2,0,0.0,2,0,0,0,0.0,3.5,3.95,0.5,3.0,4.0,5.128205128205128
