mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,58,58,57,0,0.2545454545454545,0.3,0,0,,14,171.42857142857144,,,,,,0.0
c3:00:00:13:3b:b7,median,58,58,4,0,0.7818181818181819,0.95,0,0,,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,58,58,2,0,0.9636363636363636,0.95,0,0,,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,58,55,1,3,1.0,0.85,0,0,,0,0.0,,,,,,5.172413793103448
