mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,52,52,51,0,0.34,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median,52,52,7,0,0.94,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,52,52,7,0,0.94,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,52,50,0,2,1.0,,,,,,,,,,,,,,,3.8461538461538463
c3:00:00:13:3c:1e,baseline,51,51,50,0,0.3,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,51,51,4,0,0.94,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,51,51,4,0,0.94,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,51,50,2,1,1.0,,,,,,,,,,,,,,,1.9607843137254901
c3:00:00:13:3b:f2,baseline,51,51,50,0,0.24,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,51,51,8,0,0.82,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,51,51,8,0,0.84,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,51,50,8,1,1.0,,,,,,,,,,,,,,,1.9607843137254901
