mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,17
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,15
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,18
c3:00:00:13:3b:b7,median,Corredor,Corredor,21
c3:00:00:13:3b:b7,median,Corredor,Sala B,29
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,18
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala B,32
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,16
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala B,33
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,desconhecida,1
