mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,18
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,13
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,18
c3:00:00:13:3b:b7,median,Corredor,Corredor,30
c3:00:00:13:3b:b7,median,Corredor,Sala B,19
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,39
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala B,10
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,38
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala B,10
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,desconhecida,1
