mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,33,33,32,0,0.375,0.36363636363636365,2,0,0.0,2,0,0,21,1843.90243902439,1.5,1.95,0.5,1.0,2.0,0.0
c3:00:00:13:3b:b7,median,33,33,4,0,0.90625,0.7272727272727273,2,0,0.0,2,0,0,1,87.80487804878048,5.0,5.0,0.0,5.0,5.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,33,33,4,0,0.90625,0.7272727272727273,2,0,0.0,2,0,0,1,87.80487804878048,5.0,5.0,0.0,5.0,5.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,33,32,2,1,1.0,0.6666666666666666,2,1,0.5,1,0,0,1,87.80487804878048,5.0,5.0,0.0,5.0,5.0,3.0303030303030303
