mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,57,57,55,0,0.3392857142857143,0.35185185185185186,0.0,0.0,,0.0,0.0,0.0,35.0,1774.6478873239437,,,,,,0.0
c3:00:00:13:3b:b7,median,57,57,5,0,0.9464285714285714,0.9629629629629629,0.0,0.0,,0.0,0.0,0.0,2.0,101.40845070422536,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,57,57,5,0,0.9464285714285714,0.9629629629629629,0.0,0.0,,0.0,0.0,0.0,2.0,101.40845070422536,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,57,56,1,1,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,1.7543859649122806
c3:00:00:13:3c:1e,baseline,57,57,55,0,0.3090909090909091,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,57,57,10,0,0.8727272727272727,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,57,57,10,0,0.8909090909090909,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,57,55,3,2,1.0,,,,,,,,,,,,,,,3.508771929824561
c3:00:00:13:3b:f2,baseline,57,57,55,0,0.32727272727272727,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,57,57,18,0,0.4909090909090909,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,57,57,12,0,0.8363636363636363,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,57,55,7,2,1.0,,,,,,,,,,,,,,,3.508771929824561
