mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,12,12,9,0,0.3333333333333333,0.3333333333333333,2,0,0.0,6,568.421052631579,6.5,10.55,4.5,2.0,11.0,0.0
c3:00:00:13:3b:b7,median,12,12,2,0,0.7777777777777778,0.4166666666666667,2,1,0.5,0,0.0,13.0,13.0,0.0,13.0,13.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,12,12,1,0,1.0,0.25,2,2,1.0,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,12,9,0,3,1.0,0.08333333333333333,2,2,1.0,0,0.0,,,,,,25.0
