mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,6
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,6
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,5
c3:00:00:13:3b:b7,median,Corredor,Corredor,1
c3:00:00:13:3b:b7,median,Corredor,Sala A,1
c3:00:00:13:3b:b7,median,Corredor,Sala B,15
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,1
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala A,1
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala B,15
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala B,13
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,desconhecida,4
