mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,18,18,17,0,0.3333333333333333,0.3333333333333333,0,0,,11,582.3529411764706,,,,,,0.0
c3:00:00:13:3b:b7,median,18,18,1,0,1.0,0.9444444444444444,0,0,,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,18,18,1,0,1.0,0.9444444444444444,0,0,,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,18,15,0,3,1.0,0.8333333333333334,0,0,,0,0.0,,,,,,16.666666666666664
