mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Corredor,Corredor,17
c3:00:00:13:3b:b7,baseline,Corredor,Sala A,15
c3:00:00:13:3b:b7,baseline,Corredor,Sala B,17
c3:00:00:13:3b:b7,median,Corredor,Corredor,21
c3:00:00:13:3b:b7,median,Corredor,Sala B,28
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Corredor,13
c3:00:00:13:3b:b7,median_hysteresis,Corredor,Sala B,36
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Corredor,15
c3:00:00:13:3b:b7,median_hysteresis_persistence,Corredor,Sala B,34
