mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,18,18,17,0,0.375,0.3888888888888889,2.0,0.0,0.0,11.0,1100.0,3.0,4.8,2.0,1.0,5.0,0.0
c3:00:00:13:3b:b7,median,18,18,2,0,0.75,0.6666666666666666,2.0,1.0,0.5,1.0,100.0,8.0,8.0,0.0,8.0,8.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,18,18,2,0,0.75,0.6666666666666666,2.0,1.0,0.5,1.0,100.0,8.0,8.0,0.0,8.0,8.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,18,16,1,2,1.0,0.4444444444444444,2.0,1.0,0.5,0.0,0.0,13.0,13.0,0.0,13.0,13.0,11.11111111111111
c3:00:00:13:3b:f2,baseline,18,18,17,0,0.3333333333333333,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,18,18,2,0,0.6666666666666666,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,18,18,2,0,0.8666666666666667,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,18,15,1,3,1.0,,,,,,,,,,,,16.666666666666664
c3:00:00:13:3c:1e,baseline,18,18,17,0,0.35714285714285715,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,18,18,2,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,18,18,2,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,18,14,0,4,1.0,,,,,,,,,,,,22.22222222222222
