time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 09:16:35,2026-08-26 09:16:34,31,1366431522,2026-08-26 09:16:35,server,c3:00:00:13:3c:1e,ESP-03,ea87645c-c665-419d-bdf4-995be69949e7,DIN2–AB-R1,,,Sala B,-78,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:35,2026-08-26 09:16:35,22,2605610151,2026-08-26 09:16:35,server,c3:00:00:13:3c:1e,ESP-01,98bc7a55-acf5-4820-b655-35605f225118,DIN2–AB-R1,,,Corredor,-84,,,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:40,2026-08-26 09:16:39,46,1888488593,2026-08-26 09:16:40,server,c3:00:00:13:3c:1e,ESP-02,edc0876a-bff6-4a0f-8fbf-c55edce51b81,DIN2–AB-R1,,,Sala A,-76,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:16:42,2026-08-26 09:16:41,32,1366431522,2026-08-26 09:16:42,server,c3:00:00:13:3c:1e,ESP-03,6f23aec3-71e2-44e7-9c5f-734fc301b4fd,DIN2–AB-R1,,,Sala B,-78,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:42,2026-08-26 09:16:41,23,2605610151,2026-08-26 09:16:42,server,c3:00:00:13:3c:1e,ESP-01,d6db2d41-de62-4c7b-a8d7-1004aae722b3,DIN2–AB-R1,,,Corredor,-94,,,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:46,2026-08-26 09:16:46,47,1888488593,2026-08-26 09:16:46,server,c3:00:00:13:3c:1e,ESP-02,35719b8a-efd7-4ab7-8e87-1d5b7a30f1e6,DIN2–AB-R1,,,Sala A,-76,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:16:48,2026-08-26 09:16:48,33,1366431522,2026-08-26 09:16:48,server,c3:00:00:13:3c:1e,ESP-03,e35b8c24-e587-4ec1-9158-373a8a8b9f04,DIN2–AB-R1,,,Sala B,-77,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:49,2026-08-26 09:16:48,24,2605610151,2026-08-26 09:16:49,server,c3:00:00:13:3c:1e,ESP-01,fb77f6f0-dc1f-4d1d-aac0-cc8dd1b2ca33,DIN2–AB-R1,,,Corredor,-86,,,Corredor,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:55,2026-08-26 09:16:55,25,2605610151,2026-08-26 09:16:55,server,c3:00:00:13:3c:1e,ESP-01,0279c1d1-c8ed-42af-a626-f11ea93d9b7c,DIN2–AB-R1,,,Corredor,-90,,,Corredor,False,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:16:55,2026-08-26 09:16:52,48,1888488593,2026-08-26 09:16:55,server,c3:00:00:13:3c:1e,ESP-02,24f0f54e-cb39-405a-a093-d449e8ddd344,DIN2–AB-R1,,,Sala A,-71,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:16:58,2026-08-26 09:16:55,34,1366431522,2026-08-26 09:16:58,server,c3:00:00:13:3c:1e,ESP-03,f3d7f5e3-5525-4463-b8af-3182910bbb05,DIN2–AB-R1,,,Sala B,-78,,,Sala B,True,Sala A,False,Sala A,False,False,Sala A,False,False,True,True
2026-08-26 09:17:02,2026-08-26 09:17:01,49,1888488593,2026-08-26 09:17:02,server,c3:00:00:13:3c:1e,ESP-02,e7fe41f8-9c59-4acd-93f1-d61872a19bc1,DIN2–AB-R1,,,Sala A,-70,,,Sala A,True,Sala A,False,Sala A,False,False,Sala A,False,True,True,True
2026-08-26 09:17:14,2026-08-26 09:17:14,36,1366431522,2026-08-26 09:17:14,server,c3:00:00:13:3b:b7,ESP-03,15ed375a-cfe7-4297-93ce-55719ffabaad,DIN2–BA-R1,,,Sala B,-63,,,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-26 09:17:15,2026-08-26 09:17:15,51,1888488593,2026-08-26 09:17:15,server,c3:00:00:13:3b:b7,ESP-02,e2b796b6-0dd5-4d22-bdf7-706ec86052e4,DIN2–BA-R1,,,Sala A,-100,,,Sala A,True,Sala B,False,Sala B,False,False,,False,False,False,False
