mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,10,10,9,0,0.25,0.3,2,1,0.5,7,614.6341463414634,5.0,5.0,0.0,5.0,5.0,0.0
c3:00:00:13:3b:b7,median,10,10,0,0,1.0,0.5,2,2,1.0,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,10,10,0,0,1.0,0.5,2,2,1.0,0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,10,8,0,2,1.0,0.3,2,2,1.0,0,0.0,,,,,,20.0
