time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-25 11:24:10,2026-08-25 11:24:09,671,1690126268,2026-08-25 11:24:10,server,c3:00:00:13:3b:b7,ESP-03,0b69fe16-53e1-4743-9854-1e8a3d4d8c1d,EST-B3-R5,static,B3,Sala B,-53,Sala B,junto_parede,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-25 11:24:12,2026-08-25 11:24:11,619,2239514506,2026-08-25 11:24:12,server,c3:00:00:13:3b:b7,ESP-01,b4e4e0af-0734-45ab-88a7-54e2b94ea876,EST-B3-R5,static,B3,Corredor,-67,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,,False,False,False,False
2026-08-25 11:24:16,2026-08-25 11:24:15,76,2441852059,2026-08-25 11:24:16,server,c3:00:00:13:3b:b7,ESP-02,6b0bd227-3591-439b-a37a-dc2fd4c53b8c,EST-B3-R5,static,B3,Sala A,-81,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,True,False,True,True
2026-08-25 11:24:23,2026-08-25 11:24:22,672,1690126268,2026-08-25 11:24:23,server,c3:00:00:13:3b:b7,ESP-03,928c040b-c1e5-4c64-b21f-78ede771799b,EST-B3-R5,static,B3,Sala B,-50,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:24:25,2026-08-25 11:24:24,620,2239514506,2026-08-25 11:24:25,server,c3:00:00:13:3b:b7,ESP-01,c0a77abe-eb42-4b71-90b8-4989313b5b34,EST-B3-R5,static,B3,Corredor,-81,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:24:28,2026-08-25 11:24:27,77,2441852059,2026-08-25 11:24:28,server,c3:00:00:13:3b:b7,ESP-02,408a9785-e496-4c03-b370-c2bef0482d32,EST-B3-R5,static,B3,Sala A,-89,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:24:35,2026-08-25 11:24:35,673,1690126268,2026-08-25 11:24:35,server,c3:00:00:13:3b:b7,ESP-03,14499ca1-a05b-4fca-82d4-4488d0803983,EST-B3-R5,static,B3,Sala B,-52,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:24:37,2026-08-25 11:24:36,621,2239514506,2026-08-25 11:24:37,server,c3:00:00:13:3b:b7,ESP-01,f304e739-e85a-49a3-90ad-f3ab93ee0582,EST-B3-R5,static,B3,Corredor,-83,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:24:41,2026-08-25 11:24:40,78,2441852059,2026-08-25 11:24:41,server,c3:00:00:13:3b:b7,ESP-02,09babfdf-5581-4fff-b68a-9f9a60b1de44,EST-B3-R5,static,B3,Sala A,-82,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:24:48,2026-08-25 11:24:47,674,1690126268,2026-08-25 11:24:48,server,c3:00:00:13:3b:b7,ESP-03,6a2083c2-37f3-4458-b955-594c48db2116,EST-B3-R5,static,B3,Sala B,-50,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:24:50,2026-08-25 11:24:49,622,2239514506,2026-08-25 11:24:50,server,c3:00:00:13:3b:b7,ESP-01,2c85cd65-300d-4ce4-8c0e-40742252d276,EST-B3-R5,static,B3,Corredor,-82,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:24:54,2026-08-25 11:24:53,79,2441852059,2026-08-25 11:24:54,server,c3:00:00:13:3b:b7,ESP-02,c41d5bc2-569c-4721-86fb-fe3f3eda98e1,EST-B3-R5,static,B3,Sala A,-82,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:25:00,2026-08-25 11:25:00,675,1690126268,2026-08-25 11:25:00,server,c3:00:00:13:3b:b7,ESP-03,a10e93f8-4ce6-4c20-8222-63041bd467fc,EST-B3-R5,static,B3,Sala B,-64,Sala B,junto_parede,Sala B,True,Sala B,False,Sala B,False,False,Sala B,False,True,True,True
2026-08-25 11:25:02,2026-08-25 11:25:01,623,2239514506,2026-08-25 11:25:02,server,c3:00:00:13:3b:b7,ESP-01,0246440b-2f36-41b9-85fc-85c8d8f9cc4c,EST-B3-R5,static,B3,Corredor,-67,Sala B,junto_parede,Corredor,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
2026-08-25 11:25:07,2026-08-25 11:25:06,80,2441852059,2026-08-25 11:25:07,server,c3:00:00:13:3b:b7,ESP-02,2298b5b7-745f-45da-9333-d7004389295d,EST-B3-R5,static,B3,Sala A,-83,Sala B,junto_parede,Sala A,True,Sala B,False,Sala B,False,False,Sala B,False,False,True,True
