mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,17,17,15,0,0.35714285714285715,0.375,2.0,0.0,0.0,9.0,771.4285714285714,0.0,0.0,0.0,0.0,0.0,0.0
c3:00:00:13:3b:b7,median,17,17,3,0,0.7857142857142857,0.5,2.0,1.0,0.5,1.0,85.71428571428571,14.0,14.0,0.0,14.0,14.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,17,17,1,0,1.0,0.4375,2.0,2.0,1.0,0.0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,17,14,0,3,1.0,0.3125,2.0,2.0,1.0,0.0,0.0,,,,,,17.647058823529413
c3:00:00:13:3b:f2,baseline,17,17,15,0,0.3333333333333333,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,17,17,2,0,0.26666666666666666,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,17,17,0,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,17,15,0,2,1.0,,,,,,,,,,,,11.76470588235294
c3:00:00:13:3c:1e,baseline,17,17,15,0,0.35714285714285715,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,17,17,1,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,17,17,1,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,17,14,0,3,1.0,,,,,,,,,,,,17.647058823529413
