mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,31,31,28,0,0.3333333333333333,0.3103448275862069,2,0,0.0,2,1,0,20,1674.4186046511627,8.5,14.35,6.5,2.0,15.0,0.0
c3:00:00:13:3b:b7,median,31,31,7,0,0.8333333333333334,0.5862068965517241,2,0,0.0,2,0,0,3,251.1627906976744,10.5,14.55,4.5,6.0,15.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,31,31,5,0,0.8666666666666667,0.5862068965517241,2,0,0.0,2,0,0,1,83.72093023255813,10.5,14.55,4.5,6.0,15.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,31,30,3,1,1.0,0.5172413793103449,2,0,0.0,2,0,0,0,0.0,10.5,14.55,4.5,6.0,15.0,3.225806451612903
