mac,method,real_room,estimated_room,count
c3:00:00:13:3b:b7,baseline,Sala B,Corredor,13
c3:00:00:13:3b:b7,baseline,Sala B,Sala A,14
c3:00:00:13:3b:b7,baseline,Sala B,Sala B,12
c3:00:00:13:3b:b7,median,Sala B,Corredor,11
c3:00:00:13:3b:b7,median,Sala B,Sala A,4
c3:00:00:13:3b:b7,median,Sala B,Sala B,24
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Corredor,10
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala A,5
c3:00:00:13:3b:b7,median_hysteresis,Sala B,Sala B,24
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Corredor,9
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Sala A,2
c3:00:00:13:3b:b7,median_hysteresis_persistence,Sala B,Sala B,28
