mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,50,50,48,0,0.30612244897959184,0.3673469387755102,0,0,,0,0,0,31,1716.9230769230771,,,,,,0.0
c3:00:00:13:3b:b7,median,50,50,8,0,0.7755102040816326,0.8775510204081632,0,0,,0,0,0,4,221.53846153846155,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,50,50,6,0,0.8979591836734694,0.7551020408163265,0,0,,0,0,0,3,166.15384615384616,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,50,49,4,1,1.0,0.7755102040816326,0,0,,0,0,0,2,110.76923076923077,,,,,,2.0
