mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,22,22,21,0,0.3,0.3333333333333333,2.0,0.0,0.0,14.0,1095.6521739130435,0.5,0.95,0.5,0.0,1.0,0.0
c3:00:00:13:3b:b7,median,22,22,2,0,0.75,0.6666666666666666,2.0,1.0,0.5,1.0,78.26086956521739,7.0,7.0,0.0,7.0,7.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,22,22,2,0,0.8,0.6190476190476191,2.0,1.0,0.5,1.0,78.26086956521739,10.0,10.0,0.0,10.0,10.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,22,20,2,2,1.0,0.47619047619047616,2.0,1.0,0.5,1.0,78.26086956521739,14.0,14.0,0.0,14.0,14.0,9.090909090909092
c3:00:00:13:3b:f2,baseline,22,22,21,0,0.3,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,22,22,5,0,0.65,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,22,22,1,0,0.9,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,22,20,1,2,1.0,,,,,,,,,,,,9.090909090909092
c3:00:00:13:3c:1e,baseline,22,22,21,0,0.3157894736842105,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,22,22,1,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,22,22,1,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,22,19,0,3,1.0,,,,,,,,,,,,13.636363636363635
