mac,method,experiment_id,transition_index,new_room,transition_time,detected,latency_sec,confirmation_time
c3:00:00:13:3b:b7,baseline,DIN-AB-R5,0,Corredor,2026-08-25 12:56:17,False,,
c3:00:00:13:3b:b7,baseline,DIN-AB-R5,1,Sala B,2026-08-25 12:56:24,True,8.0,2026-08-25 12:56:32
c3:00:00:13:3b:b7,median,DIN-AB-R5,0,Corredor,2026-08-25 12:56:17,False,,
c3:00:00:13:3b:b7,median,DIN-AB-R5,1,Sala B,2026-08-25 12:56:24,False,,
c3:00:00:13:3b:b7,median_hysteresis,DIN-AB-R5,0,Corredor,2026-08-25 12:56:17,False,,
c3:00:00:13:3b:b7,median_hysteresis,DIN-AB-R5,1,Sala B,2026-08-25 12:56:24,False,,
c3:00:00:13:3b:b7,median_hysteresis_persistence,DIN-AB-R5,0,Corredor,2026-08-25 12:56:17,False,,
c3:00:00:13:3b:b7,median_hysteresis_persistence,DIN-AB-R5,1,Sala B,2026-08-25 12:56:24,False,,
